ID_PLANCHER,PLANCHER_RDC,EP_PLANCHER_RDC,PLANCHER_INTERMEDIAIRE,EP_PLANCHER_INTER
DALLE BETON SOUS SOL20PLANCHER BOIS3,DALLE BETON SOUS SOL,20,PLANCHER BOIS,3
DALLE BETON SOUS SOL20NON0,DALLE BETON SOUS SOL,20,NON,0
DALLE BETON SOUS SOL20DALLE BETON15,DALLE BETON SOUS SOL,20,DALLE BETON,15
DALLE BETON SUR TERRE PLEIN8NON0,DALLE BETON SUR TERRE PLEIN,8,NON,0
DALLE SUR TERRE PLEIN8PLANCHER BOIS3,DALLE SUR TERRE PLEIN,8,PLANCHER BOIS,3
DALLE SUR TERRE PLEIN8NON0,DALLE SUR TERRE PLEIN,8,NON,0
DALLE SUR TERRE PLEIN8DALLE BETON15,DALLE SUR TERRE PLEIN,8,DALLE BETON,15
REVETEMENT SUR TERRE PLEIN4PLANCHER BOIS3,REVETEMENT SUR TERRE PLEIN,4,PLANCHER BOIS,3
REVETEMENT SUR TERRE PLEIN4NON0,REVETEMENT SUR TERRE PLEIN,4,NON,0
TERRE BATTUE1NON0,TERRE BATTUE,1,NON,0
VOUTE PIERRE SOUS SOL40BOIS3,VOUTE PIERRE SOUS SOL,40,BOIS,3
