ID_ARCHETYPE,archetype,U_wall_0,U_wall_min,U_wall_max,perc_below_lim_wall,perc_within_lim_wall,perc_above_lim_wall,U_roof_0_moy,U_roof_min,U_roof_max,perc_below_lim_roof,perc_within_lim_roof,perc_above_lim_roof
COM_I_P1_TF,P1-I-COMMERCE-FRANCE,1.5,1.5,2.5,74.6,25.4,0.0,1.7375,1.2,2.5,73.3,26.6,0.1
HAB_I_P1_TBO_TUI,P1-I-HABITAT-FRANCE_BOIS_TUILE,0.8,0.8,2.5,67.0,33.0,0.0,1.7375,1.2,2.5,67.4,32.6,0.0
HAB_I_P1_TBR_TUI,P1-I-HABITAT-FRANCE_BRIQUE_TUILE,1.35,1.35,2.5,69.2,30.7,0.0,1.7375,1.2,2.5,62.6,37.4,0.0
HAB_I_P1_TCAL_ARD,P1-I-HABITAT-FRANCE_PIERRE_CALCAIRE_ARDOISE,1.5,1.5,2.5,57.6,42.4,0.0,1.7375,1.2,2.5,53.5,46.5,0.0
HAB_I_P1_TCAL_TUI,P1-I-HABITAT-FRANCE_PIERRE_CALCAIRE_TUILE,1.5,1.5,2.5,57.6,42.4,0.0,1.7375,1.2,2.5,53.5,46.5,0.0
HAB_I_P1_TCA_ZIN,P1-I-HABITAT-FRANCE_PIERRE_CALCAIRE_ZINC,1.5,1.5,2.5,57.6,42.4,0.0,1.7375,1.2,2.5,53.5,46.5,0.0
HAB_I_P1_TGNE_TUI,P1-I-HABITAT-FRANCE_PIERRE_GNEISS_TUILE,1.8,1.8,2.5,75.4,24.6,0.0,1.7375,1.2,2.5,68.0,32.0,0.0
HAB_I_P1_TGRA_ARD,P1-I-HABITAT-FRANCE_PIERRE_GRANITE_ARDOISE,1.5,1.5,2.5,71.3,28.7,0.0,1.7375,1.2,2.5,65.4,34.6,0.0
HAB_I_P1_TGRA_TUI,P1-I-HABITAT-FRANCE_PIERRE_GRANITE_TUILE,1.5,1.5,2.5,71.3,28.7,0.0,1.7375,1.2,2.5,65.4,34.6,0.0
HAB_I_P1_TGRE_ARD,P1-I-HABITAT-FRANCE_PIERRE_GRES_ARDOISE,1.65,1.65,2.5,70.3,29.7,0.0,1.7375,1.2,2.5,62.7,37.3,0.0
HAB_I_P1_TGRE_TUI,P1-I-HABITAT-FRANCE_PIERRE_GRES_TUILE,1.65,1.65,2.5,70.3,29.7,0.0,1.7375,1.2,2.5,62.7,37.3,0.0
HAB_I_P1_TMEU,P1-I-HABITAT-FRANCE_PIERRE_MEULIERE_TUILE,1.5,1.5,2.5,70.8,29.2,0.0,1.7375,1.2,2.5,63.8,36.2,0.0
HAB_I_P1_TSCH_TUI,P1-I-HABITAT-FRANCE_PIERRE_SCHISTE_TUILE,1.5,1.5,2.5,48.5,51.4,0.2,1.7375,1.2,2.5,64.7,35.3,0.0
HAB_I_P1_TER_TUI,P1-I-HABITAT-FRANCE_TERRE_TUILE,1.5,1.5,2.5,77.7,22.3,0.0,1.7375,1.2,2.5,72.5,27.5,0.0
HAB_P_P1_TBO_TUI,P1-P-HABITAT-FRANCE_BOIS_TUILE,0.8,0.8,2.5,62.4,37.6,0.0,1.7375,1.2,2.5,83.4,16.6,0.0
HAB_P_P1_TBR_TUI,P1-P-HABITAT-FRANCE_BRIQUE_TUILE,1.35,1.35,2.5,70.6,29.4,0.0,1.7375,1.2,2.5,80.4,19.6,0.0
HAB_P_P1_TCAL_TUI,P1-P-HABITAT-FRANCE_PIERRE_CALCAIRE_TUILE,1.5,1.5,2.5,69.1,30.9,0.0,1.7375,1.2,2.5,82.3,17.5,0.2
HAB_P_P1_TCA_ZIN,P1-P-HABITAT-FRANCE_PIERRE_CALCAIRE_ZINC,1.5,1.5,2.5,69.1,30.9,0.0,1.7375,1.2,2.5,82.3,17.5,0.2
HAB_P_P1_TGNE_TUI,P1-P-HABITAT-FRANCE_PIERRE_GNEISS_TUILE,1.8,1.8,2.5,68.5,31.4,0.1,1.7375,1.2,2.5,82.7,17.3,0.0
HAB_P_P1_TGRA_ARD,P1-P-HABITAT-FRANCE_PIERRE_GRANITE_ARDOISE,1.8,1.8,2.5,72.5,27.5,0.0,1.7375,1.2,2.5,83.8,16.2,0.0
HAB_P_P1_TGRA_TUI,P1-P-HABITAT-FRANCE_PIERRE_GRANITE_TUILE,1.8,1.8,2.5,72.5,27.5,0.0,1.7375,1.2,2.5,83.8,16.2,0.0
HAB_P_P1_TGRE_ARD,P1-P-HABITAT-FRANCE_PIERRE_GRES_ARDOISE,1.65,1.65,2.5,68.6,31.4,0.0,1.7375,1.2,2.5,79.4,20.6,0.0
HAB_P_P1_TGRE_TUI,P1-P-HABITAT-FRANCE_PIERRE_GRES_TUILE,1.65,1.65,2.5,68.6,31.4,0.0,1.7375,1.2,2.5,79.4,20.6,0.0
HAB_P_P1_TMEU,P1-P-HABITAT-FRANCE_PIERRE_MEULIERE_TUILE,2.45,2.45,2.5,99.8,0.2,0.0,1.7375,1.2,2.5,78.9,21.1,0.0
HAB_P_P1_TSCH_TUI,P1-P-HABITAT-FRANCE_PIERRE_SCHISTE_TUILE,2.3,2.29,2.5,100.0,0.0,0.0,1.7375,1.2,2.5,73.3,26.7,0.0
HAB_P_P1_TER_TUI,P1-P-HABITAT-FRANCE_TERRE_TUILE,1.55,1.55,2.5,69.8,30.2,0.0,1.7375,1.2,2.5,82.2,17.8,0.0
COM_I_P2_TF,P2-I-COMMERCE-FRANCE,2.9,2.5,2.9,99.8,0.2,0.0,2.5,2.5,2.5,73.0,27.0,0.0
HAB_I_P2_TAR,P2-I-HABITAT-FRANCE_ARDOISE,2.8,2.5,2.8,99.6,0.4,0.0,1.7375,1.2,2.5,45.9,53.9,0.1
HAB_I_P2_TBR,P2-I-HABITAT-FRANCE_TUILE,2.8,2.5,2.8,99.6,0.4,0.0,1.7375,1.2,2.5,45.9,53.9,0.1
TER_I_P2_TF,P2-I-TERTIAIRE-FRANCE,2.9,2.5,2.9,100.0,0.0,0.0,2.5,2.5,2.5,78.1,21.6,0.3
HAB_P_P2_TAR,P2-P-HABITAT-FRANCE_ARDOISE,2.0,2.0,2.5,64.4,35.6,0.0,1.7375,1.2,2.5,82.3,17.7,0.0
HAB_P_P2_TBR,P2-P-HABITAT-FRANCE_TUILE,2.0,2.0,2.5,64.4,35.6,0.0,1.7375,1.2,2.5,82.3,17.7,0.0
HAB_I_P3_TAR,P3-I-HABITAT-FRANCE_ARDOISE,2.8,0.8,1.65,42.8,35.8,21.4,1.7375,0.4,2.3,31.0,27.3,41.7
HAB_I_P3_TBR,P3-I-HABITAT-FRANCE_TUILE,2.8,0.8,1.65,42.8,35.8,21.4,1.7375,0.4,2.3,31.0,27.3,41.7
HAB_P_P3_TAR,P3-P-HABITAT-FRANCE_ARDOISE,2.0,0.5,1.12,33.6,52.2,14.1,1.7375,0.4,2.3,71.9,24.3,3.8
HAB_P_P3_TBR,P3-P-HABITAT-FRANCE_TUILE,2.0,0.5,1.12,33.6,52.2,14.1,1.7375,0.4,2.3,71.9,24.3,3.8
HAB_I_P4_TAR,P4-I-HABITAT-FRANCE_ARDOISE,2.05,0.5,0.89,43.6,42.4,14.0,1.7375,0.26,0.33,23.3,17.2,59.5
HAB_I_P4_TBR,P4-I-HABITAT-FRANCE_TUILE,2.05,0.5,0.89,43.6,42.4,14.0,1.7375,0.26,0.33,23.3,17.2,59.5
HAB_P_P4_TAR,P4-P-HABITAT-FRANCE_ARDOISE,2.0,0.57,0.89,55.6,37.1,7.3,1.7375,0.26,0.33,58.8,21.8,19.5
HAB_P_P4_TBR,P4-P-HABITAT-FRANCE_TUILE,2.0,0.57,0.89,55.6,37.1,7.3,1.7375,0.26,0.33,58.8,21.8,19.5
HAB_I_P5_TAR,P5-I-HABITAT-FRANCE_ARDOISE,2.9,0.45,0.57,38.8,46.9,14.3,1.7375,0.21,0.3,15.2,28.5,56.3
HAB_I_P5_TBR,P5-I-HABITAT-FRANCE_TUILE,2.9,0.45,0.57,38.8,46.9,14.3,1.7375,0.21,0.3,15.2,28.5,56.3
HAB_P_P5_TAR,P5-P-HABITAT-FRANCE_ARDOISE,2.0,0.45,0.57,51.2,41.9,6.9,1.7375,0.21,0.3,49.6,40.2,10.2
HAB_P_P5_TBR,P5-P-HABITAT-FRANCE_TUILE,2.0,0.45,0.57,51.2,41.9,6.9,1.7375,0.21,0.3,49.6,40.2,10.2
HAB_I_P6_TAR,P6-I-HABITAT-FRANCE_ARDOISE,2.9,0.35,0.47,14.0,76.6,9.4,1.7375,0.17,0.3,7.1,51.3,41.6
HAB_I_P6_TBR,P6-I-HABITAT-FRANCE_TUILE,2.9,0.35,0.47,14.0,76.6,9.4,1.7375,0.17,0.3,7.1,51.3,41.6
TER_I_P6_TF,P6-I-TERTIAIRE-FRANCE,0.4484304932735426,0.36,0.47,28.3,49.2,22.5,1.975,0.27,0.32,56.0,9.9,34.1
HAB_P_P6_TAR,P6-P-HABITAT-FRANCE_ARDOISE,2.8,0.35,0.47,25.2,70.5,4.3,1.7375,0.17,0.3,30.7,65.2,4.1
HAB_P_P6_TBR,P6-P-HABITAT-FRANCE_TUILE,2.8,0.35,0.47,25.2,70.5,4.3,1.7375,0.17,0.3,30.7,65.2,4.1
HAB_I_P7_TBR,P7-I-HABITAT-FRANCE_ARDOISE,1.9,0.22,0.4,8.6,67.4,24.0,1.7375,0.12,0.25,4.5,47.9,47.6
HAB_I_P7_TAR,P7-I-HABITAT-FRANCE_TUILE,1.9,0.22,0.4,8.6,67.4,24.0,1.7375,0.12,0.25,4.5,47.9,47.6
HAB_P_P7_TAR,P7-P-HABITAT-FRANCE_ARDOISE,2.8,0.22,0.4,11.5,72.0,16.6,1.7375,0.12,0.25,15.3,69.2,15.5
HAB_P_P7_TBR,P7-P-HABITAT-FRANCE_TUILE,2.8,0.22,0.4,11.5,72.0,16.6,1.7375,0.12,0.25,15.3,69.2,15.5
